source,category,sub_category,product_name,product_link,price,brand,item_weight
noon,Grocery,Herbs&spices,Yumart Monosodium Glutamate MSG 1kg – Food Seasoning Enhancer for Cooking (E621),https://www.noon.com/egypt-en/yumart-monosodium-glutamate-msg-1kg-food-seasoning-enhancer-for-cooking-e621/ZF7D7BA7C873A213218B0Z/p/?o=cf0a3ab567e4beee,350.00,Yumart,1000g  |  EGP 35.00/100g
noon,Grocery,Herbs&spices,Ginger Spices Bottle- 65 Gram,https://www.noon.com/egypt-en/ginger-spices-bottle-65-gram/Z55D44A3A21B27F8E6ABEZ/p/?o=z55d44a3a21b27f8e6abez-1,69.75,Imtenan,65g  |  EGP 107.31/100g
noon,Grocery,Herbs&spices,Wafery Sesame 250 gm,https://www.noon.com/egypt-en/wafery-sesame-250-gm/Z5A7B99375DADF0FFA8EEZ/p/?o=z5a7b99375dadf0ffa8eez-1,85.00,ZARY,250g  |  EGP 34.00/100g
noon,Grocery,Herbs&spices,Raw Lemon Salt Powder 150 grams,https://www.noon.com/egypt-en/raw-lemon-salt-powder-150-grams/ZB1AA84A8510F12A5CF3DZ/p/?o=zb1aa84a8510f12a5cf3dz-1,39.00,Magic Moments,150g  |  EGP 26.00/100g
noon,Grocery,Herbs&spices,Wafery Bay Leaves 25 gm,https://www.noon.com/egypt-en/wafery-bay-leaves-25-gm/Z93088F47753B866EA28EZ/p/?o=z93088f47753b866ea28ez-1,45.00,ZARY,25g  |  EGP 1.80/g
noon,Grocery,Herbs&spices,Ground Black Pepper 90grams,https://www.noon.com/egypt-en/ground-black-pepper-90grams/N28727399A/p/?o=c566431715f4a10a,119.00,Abu Auf,90g  |  EGP 132.22/100g
noon,Grocery,Herbs&spices,basic spices 260 Pack of 4,https://www.noon.com/egypt-en/basic-spices-260-pack-of-4/Z47834B14BC756AA43BCAZ/p/?o=z47834b14bc756aa43bcaz-1,296.00,Saltana,4 pieces  |  EGP 74.00/piece
noon,Grocery,Herbs&spices,Himalayan Salt 500g.,https://www.noon.com/egypt-en/himalayan-salt-500g/Z99DB2BD514105E30B4F0Z/p/?o=z99db2bd514105e30b4f0z-1,45.95,Mr. Food,500g  |  EGP 9.19/100g
noon,Grocery,Herbs&spices,Paprika 75g,https://www.noon.com/egypt-en/paprika-75g/ZCD9FED00F3C3E5D92D67Z/p/?o=zcd9fed00f3c3e5d92d67z-1,47.75,Haj Arafa,75g  |  EGP 63.67/100g
noon,Grocery,Herbs&spices,"""Natural Himalayan Pink Salt | 650g by Hunza""",https://www.noon.com/egypt-en/natural-himalayan-pink-salt-650g-by-hunza/ZD50818B2B3E0C5546E28Z/p/?o=zd50818b2b3e0c5546e28z-1,94.00,hunza,650g  |  EGP 14.46/100g
