sku,source,category,sub_category,product_name,price,brand,item_weight,unit_count,date,item_weight_grams
zbac47afbe9d043cc1535z,noon,grocery,"creal,oats,jams&honey",classic chocolate spread with hazelnut 900g,270.0,milkato,900,1.0,2026-06-25,900.0
zdd63bfafa8ac6d96b249z,noon,grocery,"creal,oats,jams&honey",crunchy caramel bar- 23.5 gm - pack of 6,107.0,fitness,23,1.0,2026-06-25,23.5
n42652842a,noon,grocery,"creal,oats,jams&honey",fruit flakes box 250grams,36.0,cornexi,250,1.0,2026-06-25,250.0
zf1aa20df3dafaab8de62z,noon,grocery,"creal,oats,jams&honey",bee immunity honey propolis 170 grams,296.5,imtenan,170,1.0,2026-06-25,170.0
n42868000a,noon,grocery,"creal,oats,jams&honey",gold granola with chocolate and orange 300grams,228.0,sante,300,1.0,2026-06-25,300.0
z92f2187b0188a9587163z,noon,grocery,"creal,oats,jams&honey",pistachio spread 350 gm ( premium quality ),324.0,milkato,350,1.0,2026-06-25,350.0
n28992059a,noon,grocery,"creal,oats,jams&honey",pure honey 250grams,94.0,isis,250,1.0,2026-06-25,250.0
z1e2a9a99efbb2bb80b37z,noon,grocery,"creal,oats,jams&honey",protein bar peanut butter 70 gm,61.0,abu auf,70,1.0,2026-06-25,70.0
z95782e5c2eca73e3a8d6z,noon,grocery,"creal,oats,jams&honey",pure black seed honey – kidney support & natural protection 200g,166.5,wadyan,200,1.0,2026-06-25,200.0
z66a4b7e26018279c14cdz,noon,grocery,"creal,oats,jams&honey",nuts bar coconut & fruit nut 40 grams,44.0,abu auf,40,1.0,2026-06-25,40.0
n44900122a,noon,grocery,"creal,oats,jams&honey",marroni chestnut cream 340grams,138.0,menz&gasser,340,1.0,2026-06-25,340.0
n51182034a,noon,grocery,"creal,oats,jams&honey",protein bar nuts & caramel 40grams,84.25,abu auf,40,1.0,2026-06-25,40.0
z972669cc840eb3544899z,noon,grocery,"creal,oats,jams&honey",greenuts bran flakes high-fiber breakfast cereal 250g – healthy wheat bran flakes for digestive support,99.0,greenuts,250,1.0,2026-06-25,250.0
n35958764a,noon,grocery,"creal,oats,jams&honey",chocolate topping 250grams,61.0,solo,250,1.0,2026-06-25,250.0
n52490743a,noon,grocery,"creal,oats,jams&honey",pure honey squeeze 450g,152.0,isis,500,1.0,2026-06-25,500.0
z5659e8a4b6070a5b0d7az,noon,grocery,"creal,oats,jams&honey",nutella food service - hazelnut spread with cocoa - professional & bulk size 3 kg,3100.0,nutella,3,1.0,2026-06-25,3000.0
n42652841a,noon,grocery,"creal,oats,jams&honey",corn flakes box 250grams,48.0,cornexi,250,1.0,2026-06-25,250.0
n28727408a,noon,grocery,"creal,oats,jams&honey",peanut butter 330grams,162.25,abu auf,330,1.0,2026-06-25,330.0
zfad04b16faf5e34f0a38z,noon,grocery,"creal,oats,jams&honey",tasbera crunchy hazelnuts cream with cocoa 350 gm,180.0,milkato,350,1.0,2026-06-25,350.0
n29595061a,noon,grocery,"creal,oats,jams&honey",vitrac fig jam 850grams,107.0,vitrac,850,1.0,2026-06-25,850.0
n40201453a,noon,grocery,"creal,oats,jams&honey",high protein instant apple oat meal 300grams,70.25,kayy,300,1.0,2026-06-25,300.0
z7200c73618fac873cb34z,noon,grocery,"creal,oats,jams&honey",plain date spread 230g,113.0,abu auf,230,1.0,2026-06-25,230.0
zcd8411394f6385fdf8d7z,noon,grocery,"creal,oats,jams&honey",spring flowers honey squeezed 450grams,118.0,imtenan,450,1.0,2026-06-25,450.0
z9c154494b856cf817029z,noon,grocery,"creal,oats,jams&honey",cereal bars strawberry flavor - 168 gram,97.0,lino,2,1.0,2026-06-25,2352.0
n29153210a,noon,grocery,"creal,oats,jams&honey",oats + turmeric and ginger 500grams,87.0,kayy,500,1.0,2026-06-25,500.0
n29595052a,noon,grocery,"creal,oats,jams&honey",vitrac mix starwberry and raspberry jam - 430grams,54.5,vitrac,430,1.0,2026-06-25,430.0
n42652944a,noon,grocery,"creal,oats,jams&honey",coconut and milk chocolate protein vitamin bar 50grams,75.0,sante,50,1.0,2026-06-25,50.0
n51182039a,noon,grocery,"creal,oats,jams&honey",protein bar caramel biscuits bar 70grams,61.0,abu auf,70,1.0,2026-06-25,70.0
z36c57e37ca4ac2b6e7d1z,noon,grocery,"creal,oats,jams&honey",citrus blossom honey 950g,254.0,shana nature house,950,1.0,2026-06-25,950.0
n52422171a,noon,grocery,"creal,oats,jams&honey",clover honey 500ml,134.0,al shifa,500,1.0,2026-06-25,500.0
zbb71302cce11cdd170bdz,noon,grocery,"creal,oats,jams&honey","max tella - smooth hazelnut chocolate cream - rich cocoa butter & hazelnut spread - family pack (specify weight, e.g., 1kg)",175.0,maxtella,900,1.0,2026-06-25,900.0
z1ffc8a07d20f957c3efdz,noon,grocery,"creal,oats,jams&honey",chewy bar with chocolate chips flavor - 144 gram pack of 6,81.0,lino,1,1.0,2026-06-25,1152.0
n30344944a,noon,grocery,"creal,oats,jams&honey",oats with chia 500grams,69.0,healthy mill,500,1.0,2026-06-25,500.0
z20cbf2374920cd18088az,noon,grocery,"creal,oats,jams&honey",hazelnut milk chocolate spread with no added sugar 320g,201.0,haj arafa,320,1.0,2026-06-25,320.0
