sku,source,category,sub_category,product_name,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count,Unnamed: 4,date
N12280412A,noon,Grocery,"creal,oats,Jams&Honey",Crunchy Classic Crispy Cereal Flakes 350grams,121.0,Sante,350g  |  EGP 34.57/100g,,,,,,,2026-06-25
Z76B3BBE886ACD5DB82F3Z,noon,Grocery,"creal,oats,Jams&Honey",Plain Sesame Light Diet Halawa,80.0,Halwani Bros,250g  |  EGP 32.00/100g,,,,,,,2026-06-25
ZA70C3813CDAB9E571AC3Z,noon,Grocery,"creal,oats,Jams&Honey",Rotus Spread Cream – Cinnamon & Caramel Flavor – Smooth & Creamy Dessert Filling – Family Snack – 350g,95.0,Rotus,350g  |  EGP 27.14/100g,,,,,,,2026-06-25
N42868072A,noon,Grocery,"creal,oats,Jams&Honey",Gluten Free Whole Grain Oats 500grams,146.75,Healthy Mill,500g  |  EGP 29.35/100g,,,,,,,2026-06-25
Z8F11FD8CFB38F18461BBZ,noon,Grocery,"creal,oats,Jams&Honey",Rocher spread Cream  Irresistible Luxurious Rocher Goodness 350 gm,162.0,ASMACUP,350g  |  EGP 46.29/100g,,,,,,,2026-06-25
Z1ACFB0C3E83A7BF8B5E2Z,noon,Grocery,"creal,oats,Jams&Honey",فستق اسبريد  200 جرام,179.1,اسماكب,200g  |  EGP 89.55/100g,,,,,,,2026-06-25
Z4BA27EF7129F14D5CBC5Z,noon,Grocery,"creal,oats,Jams&Honey",Maxtella Chocolate Hazelnut Spread - 320g,99.99,Maxtella,320g  |  EGP 31.25/100g,,,,,,,2026-06-25
Z2519ADEA5027508C785AZ,noon,Grocery,"creal,oats,Jams&Honey",Hazelnut Spread Chocolate-350g,144.0,Milkato,350g  |  EGP 41.14/100g,,,,,,,2026-06-25
N42868004A,noon,Grocery,"creal,oats,Jams&Honey",Fit Granola Strawberry And Cherry 300grams,208.25,Sante,300g  |  EGP 69.42/100g,,,,,,,2026-06-25
Z3D684EC7B8F717AB7B3CZ,noon,Grocery,"creal,oats,Jams&Honey",Nawara honey with honey 450 g,126.0,Shana nature house,470g  |  EGP 26.81/100g,,,,,,,2026-06-25
Z6DA6119CD13785550967Z,noon,Grocery,"creal,oats,Jams&Honey",Dubai filling Kunafa & Pistachio 500 Gram,243.0,ASMACUP,450g  |  EGP 54.00/100g,,,,,,,2026-06-25
